mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
18	18	3/4	3/4	4/4	2	1		V7(4+2)	F	I		V7(4+2)	V		7	4+2				Mm7	0	0	1, 0, 2, -1	3	1	1
18	18	7/8	7/8	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
19	19	0	0	4/4	2	1		I(64)|PAC	F	I		I(64)	I			64		PAC		M	0	0	0, -1, 3		0	0
19	19	1/4	1/4	4/4	2	1		I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
20	20	0	0	4/4	2	1		iii.i{	F	iii		i	i						{	m	0	1	0, -3, 1		0	0
20	20	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
20	20	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
20	20	3/4	3/4	4/4	2	1		iv(+6)	F	iii		iv(+6)	iv			+6				m	0	1	-1, -4, 0	2	-1	-1
21	21	0	0	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
21	21	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
21	21	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
21	21	3/4	3/4	4/4	2	1		iv7(6)	F	iii		iv7(6)	iv		7	6				mm7	0	1	-1, -4, 2, -3		-1	-1
21	21	7/8	7/8	4/4	2	1		iv7	F	iii		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
22	22	0	0	4/4	2	1		V7(+2)/III	F	iii		V7(+2)/III	V		7	+2	III			Mm7	0	1	-2, 2, -1, -4	0	-2	-2
22	22	1/8	1/8	4/4	2	1		III	F	iii		III	III							M	0	1	-3, 1, -2		-3	-3
22	22	3/8	3/8	4/4	2	1		iv65	F	iii		iv65	iv		65					mm7	0	1	-4, 0, -3, -1		-1	-4
22	22	5/8	5/8	4/4	2	1		i64	F	iii		i64	i		64					m	0	1	1, 0, -3		0	1
22	22	3/4	3/4	4/4	2	1		iv7	F	iii		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
23	23	0	0	4/4	2	1		V7(+6)/III	F	iii		V7(+6)/III	V		7	+6	III			Mm7	0	1	-2, 2, -1, -4	1	-2	-2
23	23	1/2	1/2	4/4	2	1		V7(+6+2)	F	iii		V7(+6+2)	V		7	+6+2				Mm7	0	1	1, 5, 2, -1	-3, -4	1	1
23	23	7/8	7/8	4/4	2	1		v|HC}	F	iii		v	v					HC	}	m	0	1	1, -2, 2		1	1
24	24	0	0	4/4	2	1		i{	F	iii		i	i						{	m	0	1	0, -3, 1		0	0
24	24	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
24	24	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
24	24	3/4	3/4	4/4	2	1		iv(+6)	F	iii		iv(+6)	iv			+6				m	0	1	-1, -4, 0	2	-1	-1
25	25	0	0	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
25	25	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
25	25	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
25	25	1/2	1/2	4/4	2	1		iv	F	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
25	25	5/8	5/8	4/4	2	1		iv(2)	F	iii		iv(2)	iv			2				m	0	1	1, -4, 0		-1	1
25	25	7/8	7/8	4/4	2	1		iv	F	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
26	26	0	0	4/4	2	1		V7(+2)/III	F	iii		V7(+2)/III	V		7	+2	III			Mm7	0	1	-2, 2, -1, -4	0	-2	-2
26	26	1/2	1/2	4/4	2	1		III(+6)	F	iii		III(+6)	III			+6				M	0	1	-3, 1, -2	0	-3	-3
27	27	0	0	4/4	2	1		V7/III	F	iii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
27	27	1/2	1/2	4/4	2	1		III(+6)	F	iii		III(+6)	III			+6				M	0	1	-3, 1, -2	0	-3	-3
28	28	0	0	4/4	2	1		V43(+2)/V	F	iii		V43(+2)/V	V		43	+2	V			Mm7	0	1	3, 0, 2, 6	4	2	3
28	28	1/2	1/2	4/4	2	1		V	F	iii		V	V							M	0	1	1, 5, 2		1	1
29	29	0	0	4/4	2	1		V43(+2)/V	F	iii		V43(+2)/V	V		43	+2	V			Mm7	0	1	3, 0, 2, 6	4	2	3
29	29	1/2	1/2	4/4	2	1		V	F	iii		V	V							M	0	1	1, 5, 2		1	1
30	30	0	0	4/4	2	1		iv	F	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
30	30	1/4	1/4	4/4	2	1		ii%43	F	iii		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
30	30	1/2	1/2	4/4	2	1		IIIM7	F	iii		IIIM7	III	M	7					MM7	0	1	-3, 1, -2, 2		-3	-3
30	30	5/8	5/8	4/4	2	1		VI64	F	iii		VI64	VI		64					M	0	1	-3, -4, 0		-4	-3
30	30	3/4	3/4	4/4	2	1		ii%7	F	iii		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
30	30	7/8	7/8	4/4	2	1		v64	F	iii		v64	v		64					m	0	1	2, 1, -2		1	2
31	31	0	0	4/4	2	1		i7	F	iii		i7	i		7					mm7	0	1	0, -3, 1, -2		0	0
31	31	1/8	1/8	4/4	2	1		iv64	F	iii		iv64	iv		64					m	0	1	0, -1, -4		-1	0
31	31	1/4	1/4	4/4	2	1		ii%2	F	iii		ii%2	ii	%	2					%7	0	1	0, 2, -1, -4		2	0
31	31	3/8	3/8	4/4	2	1		VII	F	iii		VII	VII							M	0	1	-2, 2, -1		-2	-2
31	31	1/2	1/2	4/4	2	1		iv65	F	iii		iv65	iv		65					mm7	0	1	-4, 0, -3, -1		-1	-4
31	31	5/8	5/8	4/4	2	1		v7	F	iii		v7	v		7					mm7	0	1	1, -2, 2, -1		1	1
31	31	3/4	3/4	4/4	2	1		iv7	F	iii		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
31	31	7/8	7/8	4/4	2	1		i6	F	iii		i6	i		6					m	0	1	-3, 1, 0		0	-3
32	32	0	0	4/4	2	1		V7/V	F	iii		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
33	33	0	0	4/4	2	1		ii%43/V	F	iii		ii%43/V	ii	%	43		V			%7	0	1	-3, 1, 3, 0		3	-3
35	35	0	0	4/4	2	1		V43|HC	F	iii		V43	V		43			HC		Mm7	0	1	2, -1, 1, 5		1	2
35	35	1/8	1/8	4/4	2	1		V}	F	iii		V	V						}	M	0	1	1, 5, 2		1	1
36	36	0	0	4/4	2	1		i{	F	iii		i	i						{	m	0	1	0, -3, 1		0	0
36	36	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
36	36	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
36	36	3/4	3/4	4/4	2	1		iv(+6)	F	iii		iv(+6)	iv			+6				m	0	1	-1, -4, 0	2	-1	-1
37	37	0	0	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
37	37	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
37	37	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
37	37	3/4	3/4	4/4	2	1		V7(6)/VII	F	iii		V7(6)/VII	V		7	6	VII			Mm7	0	1	-1, 3, 2, -3		-1	-1
37	37	7/8	7/8	4/4	2	1		V7/VII	F	iii		V7/VII	V		7		VII			Mm7	0	1	-1, 3, 0, -3		-1	-1
38	38	0	0	4/4	2	1		V7(+2)/III	F	iii		V7(+2)/III	V		7	+2	III			Mm7	0	1	-2, 2, -1, -4	0	-2	-2
38	38	1/8	1/8	4/4	2	1		III	F	iii		III	III							M	0	1	-3, 1, -2		-3	-3
38	38	3/8	3/8	4/4	2	1		iv65	F	iii		iv65	iv		65					mm7	0	1	-4, 0, -3, -1		-1	-4
38	38	5/8	5/8	4/4	2	1		i64	F	iii		i64	i		64					m	0	1	1, 0, -3		0	1
38	38	3/4	3/4	4/4	2	1		iv7	F	iii		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
39	39	0	0	4/4	2	1		V7(+6)/III	F	iii		V7(+6)/III	V		7	+6	III			Mm7	0	1	-2, 2, -1, -4	1	-2	-2
39	39	1/2	1/2	4/4	2	1		V7(+6+2)	F	iii		V7(+6+2)	V		7	+6+2				Mm7	0	1	1, 5, 2, -1	-3, -4	1	1
39	39	7/8	7/8	4/4	2	1		v|HC}	F	iii		v	v					HC	}	m	0	1	1, -2, 2		1	1
40	40	0	0	4/4	2	1		i{	F	iii		i	i						{	m	0	1	0, -3, 1		0	0
40	40	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
40	40	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
40	40	3/4	3/4	4/4	2	1		iv(+6)	F	iii		iv(+6)	iv			+6				m	0	1	-1, -4, 0	2	-1	-1
41	41	0	0	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
41	41	1/8	1/8	4/4	2	1		i(2)	F	iii		i(2)	i			2				m	0	1	2, -3, 1		0	2
41	41	3/8	3/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
41	41	1/2	1/2	4/4	2	1		I	F	iii		I	I							M	0	1	0, 4, 1		0	0
41	41	5/8	5/8	4/4	2	1		I(2)	F	iii		I(2)	I			2				M	0	1	2, 4, 1		0	2
41	41	7/8	7/8	4/4	2	1		I	F	iii		I	I							M	0	1	0, 4, 1		0	0
42	42	0	0	4/4	2	1		VI	F	iii		VI	VI							M	0	1	-4, 0, -3		-4	-4
42	42	1/8	1/8	4/4	2	1		V7(6)/III	F	iii		V7(6)/III	V		7	6	III			Mm7	0	1	-2, 2, 1, -4		-2	-2
42	42	3/8	3/8	4/4	2	1		V7/III	F	iii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
42	42	1/2	1/2	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
42	42	5/8	5/8	4/4	2	1		iv	F	iii		iv	iv							m	0	1	-1, -4, 0		-1	-1
42	42	7/8	7/8	4/4	2	1		v	F	iii		v	v							m	0	1	1, -2, 2		1	1
43	43	1/8	1/8	4/4	2	1		i	F	iii		i	i							m	0	1	0, -3, 1		0	0
43	43	3/8	3/8	4/4	2	1		V7/III	F	iii		V7/III	V		7		III			Mm7	0	1	-2, 2, -1, -4		-2	-2
43	43	1/2	1/2	4/4	2	1		i|PAC}	F	iii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
44	44	0	0	4/4	2	1		I.V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
44	44	1/4	1/4	4/4	2	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
44	44	1/2	1/2	4/4	2	1		V64	F	I		V64	V		64					M	0	0	2, 1, 5		1	2
44	44	3/4	3/4	4/4	2	1		I(72)	F	I		I(72)	I			72				M	0	0	2, 4, 1	5	0	2
44	44	7/8	7/8	4/4	2	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
45	45	0	0	4/4	2	1		V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
45	45	1/8	1/8	4/4	2	1		iii64	F	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
45	45	1/4	1/4	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
45	45	3/8	3/8	4/4	2	1		vi7	F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
45	45	1/2	1/2	4/4	2	1		V7(2)	F	I		V7(2)	V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
45	45	5/8	5/8	4/4	2	1		I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
45	45	3/4	3/4	4/4	2	1		vi7	F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
45	45	7/8	7/8	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
46	46	0	0	4/4	2	1		V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
46	46	1/4	1/4	4/4	2	1		iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
46	46	1/2	1/2	4/4	2	1		V64	F	I		V64	V		64					M	0	0	2, 1, 5		1	2
46	46	3/4	3/4	4/4	2	1		I(72)	F	I		I(72)	I			72				M	0	0	2, 4, 1	5	0	2
46	46	7/8	7/8	4/4	2	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
47	47	0	0	4/4	2	1		V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
47	47	1/8	1/8	4/4	2	1		iii64	F	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
47	47	1/4	1/4	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
47	47	3/8	3/8	4/4	2	1		vi7	F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
47	47	1/2	1/2	4/4	2	1		V7(2)	F	I		V7(2)	V		7	2				Mm7	0	0	3, 5, 2, -1		1	3
47	47	5/8	5/8	4/4	2	1		I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
47	47	7/8	7/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	0	0	4/4	2	1		IV.V2	F	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
48	48	1/4	1/4	4/4	2	1		iii	F	IV		iii	iii							m	0	0	4, 1, 5		4	4
48	48	1/2	1/2	4/4	2	1		V64	F	IV		V64	V		64					M	0	0	2, 1, 5		1	2
48	48	3/4	3/4	4/4	2	1		I(72)	F	IV		I(72)	I			72				M	0	0	2, 4, 1	5	0	2
48	48	7/8	7/8	4/4	2	1		I	F	IV		I	I							M	0	0	0, 4, 1		0	0
49	49	0	0	4/4	2	1		V65	F	IV		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
49	49	1/4	1/4	4/4	2	1		ii64	F	IV		ii64	ii		64					m	0	0	3, 2, -1		2	3
49	49	3/8	3/8	4/4	2	1		ii43	F	IV		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
49	49	1/2	1/2	4/4	2	1		V7	F	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	49	3/4	3/4	4/4	2	1		ii64	F	IV		ii64	ii		64					m	0	0	3, 2, -1		2	3
50	50	0	0	4/4	2	1		V2	F	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
50	50	1/4	1/4	4/4	2	1		iii	F	IV		iii	iii							m	0	0	4, 1, 5		4	4
50	50	1/2	1/2	4/4	2	1		V64	F	IV		V64	V		64					M	0	0	2, 1, 5		1	2
50	50	3/4	3/4	4/4	2	1		I(72)	F	IV		I(72)	I			72				M	0	0	2, 4, 1	5	0	2
50	50	7/8	7/8	4/4	2	1		I	F	IV		I	I							M	0	0	0, 4, 1		0	0
51	51	0	0	4/4	2	1		V65	F	IV		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
51	51	1/4	1/4	4/4	2	1		ii64	F	IV		ii64	ii		64					m	0	0	3, 2, -1		2	3
51	51	3/8	3/8	4/4	2	1		ii43	F	IV		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
51	51	1/2	1/2	4/4	2	1		V7	F	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
52	52	0	0	4/4	2	1		I[IM7(+2)	F	IV	I	IM7(+2)	I	M	7	+2				MM7	0	0	0, 4, 1, 5	2	0	0
53	53	0	0	4/4	2	1		viio43(+2)/V	F	IV	I	viio43(+2)/V	vii	o	43	+2	V			o7	0	0	0, -3, 6, 3	1	6	0
54	54	0	0	4/4	2	1		IM7(+2)	F	IV	I	IM7(+2)	I	M	7	+2				MM7	0	0	0, 4, 1, 5	2	0	0
55	55	0	0	4/4	2	1		viio43(+2)/V]	F	IV	I	viio43(+2)/V	vii	o	43	+2	V			o7	0	0	0, -3, 6, 3	1	6	0
56	56	0	0	4/4	2	1		III.IM7(+2)	F	III		IM7(+2)	I	M	7	+2				MM7	0	0	0, 4, 1, 5	2	0	0
57	57	0	0	4/4	2	1		viio65/V	F	III		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
58	58	0	0	4/4	2	1		IM7(+2)	F	III		IM7(+2)	I	M	7	+2				MM7	0	0	0, 4, 1, 5	2	0	0
59	59	0	0	4/4	2	1		viio65/V	F	III		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
60	60	0	0	4/4	2	1		I.vii%65	F	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
60	60	1/4	1/4	4/4	2	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
60	60	3/8	3/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	60	1/2	1/2	4/4	2	1		vii%65	F	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
60	60	3/4	3/4	4/4	2	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
60	60	7/8	7/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
61	61	0	0	4/4	2	1		ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
62	62	0	0	4/4	2	1		vii%65	F	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
62	62	1/4	1/4	4/4	2	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
62	62	3/8	3/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	62	1/2	1/2	4/4	2	1		vii%65	F	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
62	62	3/4	3/4	4/4	2	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
62	62	7/8	7/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
63	63	0	0	4/4	2	1		ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
64	64	0	0	4/4	2	1		IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
65	65	0	0	4/4	2	1		V7(+4+2)	F	I		V7(+4+2)	V		7	+4+2				Mm7	0	0	1, 5, 2, -1	0, 3	1	1
66	66	0	0	4/4	2	1		I(+2)|IAC}{	F	I		I(+2)	I			+2		IAC	}{	M	0	0	0, 4, 1	2	0	0
66	66	1/2	1/2	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
68	68	0	0	4/4	2	1		I+(+2)	F	I		I+(+2)	I	+		+2				+	0	0	0, 4, 8	2	0	0
68	68	1/2	1/2	4/4	2	1		IVM7(+2)	F	I		IVM7(+2)	IV	M	7	+2				MM7	0	0	-1, 3, 0, 4	1	-1	-1
69	69	0	0	4/4	2	1		V43(+2)/IV	F	I		V43(+2)/IV	V		43	+2	IV			Mm7	0	0	1, -2, 0, 4	2	0	1
69	69	1/2	1/2	4/4	2	1		vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
70	70	0	0	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
70	70	1/4	1/4	4/4	2	1		IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
70	70	1/2	1/2	4/4	2	1		V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
71	71	0	0	4/4	2	1		I6(2)	F	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
71	71	1/4	1/4	4/4	2	1		vi43	F	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
71	71	1/2	1/2	4/4	2	1		ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
71	71	5/8	5/8	4/4	2	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
71	71	3/4	3/4	4/4	2	1		V7(42)	F	I		V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
71	71	7/8	7/8	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
72	72	0	0	4/4	2	1		I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
72	72	1/2	1/2	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
74	74	0	0	4/4	2	1		vi(+4)	F	I		vi(+4)	vi			+4				m	0	0	3, 0, 4	2	3	3
